LOAD_ZONE,PERIOD,ev_share,ice_miles_per_gallon,ev_miles_per_kwh,ev_extra_cost_per_vehicle_year,n_all_vehicles,vmt_per_vehicle
Oahu,2020,0.0155,28.9310515873016,4.0,825.0,816908.0,8706.0
Oahu,2021,0.0184,29.7738095238095,4.0,800.0,816908.0,8706.0
Oahu,2022,0.0215,30.6165674603175,4.0,775.0,816908.0,8706.0
Oahu,2023,0.0264,31.4593253968254,4.0,750.0,816908.0,8706.0
Oahu,2024,0.0315,32.3020833333333,4.0,725.0,816908.0,8706.0
Oahu,2025,0.038,33.1448412698413,4.0,700.0,816908.0,8706.0
Oahu,2026,0.045,33.9875992063492,4.0,675.0,816908.0,8706.0
Oahu,2027,0.0528,34.8303571428571,4.0,650.0,816908.0,8706.0
Oahu,2028,0.0626,35.6731150793651,4.0,625.0,816908.0,8706.0
Oahu,2029,0.073,36.515873015873,4.0,600.0,816908.0,8706.0
Oahu,2030,0.0845,37.3586309523809,4.0,575.0,816908.0,8706.0
Oahu,2031,0.0972,38.2013888888889,4.0,550.0,816908.0,8706.0
Oahu,2032,0.1128,39.0441468253968,4.0,525.0,816908.0,8706.0
Oahu,2033,0.128,39.8869047619048,4.0,500.0,816908.0,8706.0
Oahu,2034,0.1455,40.7296626984127,4.0,475.0,816908.0,8706.0
Oahu,2035,0.165,41.5724206349206,4.0,450.0,816908.0,8706.0
Oahu,2036,0.1838,42.4151785714286,4.0,425.0,816908.0,8706.0
Oahu,2037,0.206,43.2579365079365,4.0,400.0,816908.0,8706.0
Oahu,2038,0.2315,44.1006944444444,4.0,375.0,816908.0,8706.0
Oahu,2039,0.2605,44.9434523809524,4.0,350.0,816908.0,8706.0
Oahu,2040,0.2955,45.7862103174603,4.0,325.0,816908.0,8706.0
Oahu,2041,0.3365,46.6289682539683,4.0,300.0,816908.0,8706.0
Oahu,2042,0.381,47.4717261904762,4.0,275.0,816908.0,8706.0
Oahu,2043,0.4305,48.3144841269841,4.0,250.0,816908.0,8706.0
Oahu,2044,0.4855,49.1572420634921,4.0,225.0,816908.0,8706.0
Oahu,2045,0.545,50.0,4.0,200.0,816908.0,8706.0
