STORAGE_GEN_BLD_YRS_1,STORAGE_GEN_BLD_YRS_2,BuildStorageEnergy
Oahu_Battery_Bulk,2020,0.0
Oahu_Battery_Bulk,2022,558.0
Oahu_Battery_Bulk,2025,0.0
Oahu_Battery_Bulk,2030,0.0
Oahu_Battery_Bulk,2035,0.0
Oahu_Battery_Bulk,2040,2591.9158134195977
Oahu_Battery_Bulk,2045,3098.6383918374786
Oahu_Battery_Conting,2020,0.0
Oahu_Battery_Conting,2022,0.0
Oahu_Battery_Conting,2025,0.0
Oahu_Battery_Conting,2030,0.0
Oahu_Battery_Conting,2035,0.0
Oahu_Battery_Conting,2040,0.0
Oahu_Battery_Conting,2045,0.0
Oahu_Battery_Reg,2020,0.0
Oahu_Battery_Reg,2022,0.0
Oahu_Battery_Reg,2025,0.0
Oahu_Battery_Reg,2030,0.0
Oahu_Battery_Reg,2035,0.0
Oahu_Battery_Reg,2040,0.0
Oahu_Battery_Reg,2045,0.0
Oahu_DistBattery,2020,127.764
Oahu_DistBattery,2022,90.644
Oahu_DistBattery,2025,45.635999999999996
Oahu_DistBattery,2030,133.548
Oahu_DistBattery,2035,307.32
Oahu_DistBattery,2040,331.168
Oahu_DistBattery,2045,338.03999999999996
