PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2020,FuelCostsPerPeriod,annual,1293178939.3554502,675829328.4542841
2020,GenVariableOMCostsInTP,timepoint,80112258.65959445,41867534.58717425
2020,Pumped_Hydro_Fixed_Cost_Annual,annual,0.0,0.0
2020,RFM_Fixed_Costs_Annual,annual,0.0,0.0
2020,StorageEnergyFixedCost,annual,5688659.395059095,2972955.0503537892
2020,TotalGenCapitalCostsSubsidy,annual,-25090480.473930247,-13112557.0122131
2020,TotalGenFixedCosts,annual,887046101.6949084,463579906.0532651
2020,Total_StartupGenCapacity_OM_Costs,timepoint,0.0,0.0
2022,FuelCostsPerPeriod,annual,1266031160.7285233,474838106.01718336
2022,GenVariableOMCostsInTP,timepoint,85369534.48087016,32018728.544673912
2022,Pumped_Hydro_Fixed_Cost_Annual,annual,95163749.28786534,35692150.30010912
2022,RFM_Fixed_Costs_Annual,annual,0.0,0.0
2022,StorageEnergyFixedCost,annual,44201401.470010795,16578193.656187316
2022,TotalGenCapitalCostsSubsidy,annual,-64993648.4071109,-24376541.328588143
2022,TotalGenFixedCosts,annual,1529709236.8633382,573733300.8227067
2022,Total_StartupGenCapacity_OM_Costs,timepoint,0.0,0.0
2025,FuelCostsPerPeriod,annual,1994672654.0646522,504917061.29990596
2025,GenVariableOMCostsInTP,timepoint,118429324.73288804,29978345.817300174
2025,Pumped_Hydro_Fixed_Cost_Annual,annual,141001684.4847829,35692150.30010912
2025,RFM_Fixed_Costs_Annual,annual,0.0,0.0
2025,StorageEnergyFixedCost,annual,68653117.02829629,17378355.304750845
2025,TotalGenCapitalCostsSubsidy,annual,-96299420.47042617,-24376541.328588143
2025,TotalGenFixedCosts,annual,2322126855.5662775,587806458.1117544
2025,Total_StartupGenCapacity_OM_Costs,timepoint,0.0,0.0
2030,FuelCostsPerPeriod,annual,1612083412.816467,473066336.95072377
2030,GenVariableOMCostsInTP,timepoint,90804953.47004539,26646739.476095486
2030,Pumped_Hydro_Fixed_Cost_Annual,annual,121629291.649538,35692150.30010912
2030,RFM_Fixed_Costs_Annual,annual,0.0,0.0
2030,StorageEnergyFixedCost,annual,65903655.094712004,19339446.370737355
2030,TotalGenCapitalCostsSubsidy,annual,-83068726.02889378,-24376541.328588143
2030,TotalGenFixedCosts,annual,2167421698.529905,636030515.1702411
2030,Total_StartupGenCapacity_OM_Costs,timepoint,0.0,0.0
2035,FuelCostsPerPeriod,annual,1073851679.817081,365312859.32319206
2035,GenVariableOMCostsInTP,timepoint,53899980.654555656,18336197.093563706
2035,Pumped_Hydro_Fixed_Cost_Annual,annual,104918495.41531491,35692150.30010912
2035,RFM_Fixed_Costs_Annual,annual,0.0,0.0
2035,StorageEnergyFixedCost,annual,60546556.435690105,20597291.105846763
2035,TotalGenCapitalCostsSubsidy,annual,-71655812.78012523,-24376541.328588143
2035,TotalGenFixedCosts,annual,2240051015.59127,762041403.7764126
2035,Total_StartupGenCapacity_OM_Costs,timepoint,0.0,0.0
2040,FuelCostsPerPeriod,annual,883821429.8480804,348554994.5973865
2040,GenVariableOMCostsInTP,timepoint,41088737.17379464,16204273.940367311
2040,Pumped_Hydro_Fixed_Cost_Annual,annual,90503615.78962027,35692150.30010912
2040,RFM_Fixed_Costs_Annual,annual,0.0,0.0
2040,StorageEnergyFixedCost,annual,80944397.33311643,31922256.037605606
2040,TotalGenCapitalCostsSubsidy,annual,-61810933.55632306,-24376541.328588143
2040,TotalGenFixedCosts,annual,2040464040.4979184,804703199.7562715
2040,Total_StartupGenCapacity_OM_Costs,timepoint,0.0,0.0
2045,FuelCostsPerPeriod,annual,176696989.037156,80783386.52672355
2045,GenVariableOMCostsInTP,timepoint,18457251.588619813,8438396.700641682
2045,Pumped_Hydro_Fixed_Cost_Annual,annual,78069213.99865575,35692150.30010912
2045,RFM_Fixed_Costs_Annual,annual,0.0,0.0
2045,StorageEnergyFixedCost,annual,181547596.53300974,83001016.28013478
2045,TotalGenCapitalCostsSubsidy,annual,-89050505.4519117,-40712642.8215999
2045,TotalGenFixedCosts,annual,2263004530.9553356,1034613949.7456263
2045,Total_StartupGenCapacity_OM_Costs,timepoint,0.0,0.0
