period,variable,value
2020,Pumped_Hydro_Fixed_Cost_Annual,0.0
2020,co2_emissions,5684924.162404657
2020,gross_load,7975421.988560679
2020,ev_load,26080.76930676728
2020,Pumped_Hydro_Net_Load,0.0
2022,Pumped_Hydro_Fixed_Cost_Annual,35692150.30010912
2022,co2_emissions,2787067.7924904665
2022,gross_load,7853458.468816045
2022,ev_load,36176.55097390299
2022,Pumped_Hydro_Net_Load,-25190.603772162867
2025,Pumped_Hydro_Fixed_Cost_Annual,35692150.30010912
2025,co2_emissions,2614698.791248404
2025,gross_load,7686401.769908899
2025,ev_load,63939.950558526136
2025,Pumped_Hydro_Net_Load,-27933.047310130216
2030,Pumped_Hydro_Fixed_Cost_Annual,35692150.30010912
2030,co2_emissions,2231699.9371578665
2030,gross_load,7391274.771234315
2030,ev_load,142182.2584788282
2030,Pumped_Hydro_Net_Load,9481.821351601646
2035,Pumped_Hydro_Fixed_Cost_Annual,35692150.30010912
2035,co2_emissions,1611743.4093177905
2035,gross_load,7545779.799679146
2035,ev_load,277633.99584623217
2035,Pumped_Hydro_Net_Load,3487.3104287287633
2040,Pumped_Hydro_Fixed_Cost_Annual,35692150.30010912
2040,co2_emissions,1478090.3286352828
2040,gross_load,7807016.419767942
2040,ev_load,497217.2471064339
2040,Pumped_Hydro_Net_Load,-10063.616072862362
2045,Pumped_Hydro_Fixed_Cost_Annual,35692150.30010912
2045,co2_emissions,0.0
2045,gross_load,7997560.323745621
2045,ev_load,917033.5014314953
2045,Pumped_Hydro_Net_Load,14114.015144653038
