owner,variable,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049
HECO,amortized_cost,50479029.5363894,50479029.5363894,32009183.117843695,32009183.117843695,32009183.117843695,32009183.117843695,32009183.117843695,32009183.117843695,32009183.117843695,32009183.117843695,33341318.035397623,33341318.035397623,33341318.035397623,33341318.035397623,33341318.035397623,30836350.7427797,30836350.7427797,29260034.10370812,29260034.10370812,29260034.10370812,29260034.10370812,29260034.10370812,29260034.10370812,29260034.10370812,29260034.10370812,18479589.904055603,18479589.904055603,18479589.904055603,18479589.904055603,18479589.904055603
HECO,capacity_added,26.888482331235352,0.0,18.771015808455147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.658539465396363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HECO,capacity_in_place,1126.3284823312354,1126.3284823312354,586.9994981396904,586.9994981396904,586.9994981396904,586.9994981396904,586.9994981396904,586.9994981396904,586.9994981396904,586.9994981396904,609.6580376050869,609.6580376050869,609.6580376050869,609.6580376050869,609.6580376050869,582.7695552738514,582.7695552738514,563.9985394653963,563.9985394653963,563.9985394653963,563.9985394653963,563.9985394653963,563.9985394653963,563.9985394653963,563.9985394653963,272.64,272.64,272.64,272.64,272.64
HECO,capacity_retired,0.0,0.0,558.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.888482331235352,0.0,18.771015808455147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.35853946539635,0.0,0.0,0.0,0.0
HECO,capital_outlay,24328866.05205273,0.0,15309579.682182224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12938026.00454755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HECO,fixed_om,15268416.61611254,15268416.61611254,9889360.83167935,9889360.83167935,9889360.83167935,9889360.83167935,9889360.83167935,9889360.83167935,9889360.83167935,9889360.83167935,10376485.304742135,10376485.304742135,10376485.304742135,10376485.304742135,10376485.304742135,9460488.841938945,9460488.841938945,8884073.944266424,8884073.944266424,8884073.944266424,8884073.944266424,8884073.944266424,8884073.944266424,8884073.944266424,8884073.944266424,5529658.712770016,5529658.712770016,5529658.712770016,5529658.712770016,5529658.712770016
HECO,fuel_cost,338776388.30188733,276931718.4071187,280548766.6086464,273885241.1140141,274933713.1483954,261588335.22163588,260579552.0940963,252443462.23425668,242956366.77348563,227626010.6206479,204950768.13953888,166319409.41498402,143720041.40193284,128191715.9121436,118958005.41384958,119980191.54437405,116316773.47072086,111035880.70942435,111154880.39706834,111686445.36677203,113514904.29024856,65599844.0006715,29352073.11784217,19257382.86187392,16368692.007445043,26814071.324987445,26814071.324987445,26814071.324987445,26814071.324987445,26814071.324987445
HECO,non_renewable_output,2547335.9183148867,2110348.114652714,2051863.9716243811,1967188.2386904475,1904275.8285704197,1770944.3857824428,1697766.13748074,1602312.535411134,1515770.4814600823,1378620.941822528,1209374.9837402767,972569.2790810659,835467.7760536725,710069.3744606912,652605.9443443266,604982.5342078302,617302.1982744813,600007.5716749984,602162.5322885563,595306.038795727,633496.7904349294,358206.9735015592,166650.36949833043,106029.89708463277,88711.36377708294,0.0,0.0,0.0,0.0,0.0
HECO,renewable_output,2474.16781292985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79043.39587345257,79043.39587345257,79043.39587345257,79043.39587345257,79043.39587345257
HECO,storage_load,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.04136829773125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
