load_zone,period,Battery,Biodiesel/Coal/Diesel/LNG/LSFO/Pellet-Biomass,Biodiesel/Diesel/LNG,Biodiesel/Diesel/LNG/LSFO,MSW,SUN,WND,hydro,batteries,fuel cells
Oahu,2020,58.829482331235354,180.0,223.8,1083.6399999999999,73.0,736.7784999999996,123.0,0.0,0.0,0
Oahu,2021,211.29748233123536,180.0,223.8,1000.74,73.0,907.0359999999994,123.0,0.0,0.0,0
Oahu,2022,239.7614981396905,0.0,223.8,525.54,73.0,1639.8709999999999,123.0,150.0,0.0,0
Oahu,2023,242.8964981396905,0.0,223.8,525.54,73.0,1659.039,132.24416679745914,150.0,0.0,0
Oahu,2024,246.6284981396905,0.0,223.8,525.54,73.0,1682.126,141.4883335949183,150.0,0.0,0
Oahu,2025,251.1704981396905,0.0,223.8,525.54,73.0,1706.4479999999996,150.73250039237746,150.0,0.0,0
Oahu,2026,256.4944981396905,0.0,223.8,525.54,73.0,1732.336,157.81135683469162,150.0,0.0,0
Oahu,2027,262.60949813969046,0.0,223.8,525.54,73.0,1759.5759999999998,164.89021327700578,150.0,0.0,0
Oahu,2028,269.3284981396905,0.0,223.8,525.54,73.0,1787.963,171.96906971931998,150.0,0.0,0
Oahu,2029,276.6444981396905,0.0,223.8,525.54,73.0,1817.6559999999997,179.04792616163417,150.0,0.0,0
Oahu,2030,307.21603760508685,0.0,223.8,525.54,73.0,1848.1779999999997,186.12678260394836,150.0,0.0,0
Oahu,2031,315.5710376050869,0.0,223.8,525.54,73.0,1879.4979999999998,245.07160427391017,150.0,0.0,0
Oahu,2032,324.2940376050868,0.0,223.8,525.54,73.0,1911.7319999999997,304.016425943872,150.0,0.0,0
Oahu,2033,333.30003760508686,0.0,223.8,525.54,73.0,1944.1519999999998,362.96124761383385,150.0,0.0,0
Oahu,2034,342.61503760508685,0.0,223.8,525.54,73.0,1977.1319999999998,421.90606928379566,150.0,0.0,0
Oahu,2035,325.21655527385155,0.0,223.8,525.54,73.0,2010.3509999999999,480.85089095375747,150.0,0.0,0
Oahu,2036,364.53304677744336,0.0,223.8,525.54,73.0,2043.1359999999997,487.3847741908462,150.0,0.0,0
Oahu,2037,385.2105224725801,0.0,223.8,525.54,73.0,2076.3109999999997,493.918657427935,150.0,0.0,0
Oahu,2038,424.748013976172,0.0,223.8,525.54,73.0,2109.3219999999997,500.4525406650237,150.0,0.0,0
Oahu,2039,464.3355054797638,0.0,223.8,525.54,73.0,2142.423,506.9864239021125,150.0,0.0,0
Oahu,2040,503.9699969833557,0.0,223.8,525.54,73.0,2175.6849999999995,513.5203071392012,150.0,0.0,0
Oahu,2041,591.3099600600742,0.0,223.8,525.54,73.0,2551.030107528275,570.4497363742142,150.0,0.0,0
Oahu,2042,678.8089231367928,0.0,223.8,525.54,73.0,2926.2612150565496,627.3791656092274,150.0,0.0,0
Oahu,2043,766.4478862135115,0.0,223.8,525.54,73.0,3302.221322584824,684.3085948442405,150.0,0.0,0
Oahu,2044,854.21884929023,0.0,223.8,525.54,73.0,3678.4954301130992,741.2380240792536,150.0,0.0,0
Oahu,2045,919.439272901552,0.0,223.8,256.84000000000003,73.0,4055.4215376413754,798.1674533142666,150.0,0.0,0
