period,variable,value
2020,Pumped_Hydro_Fixed_Cost_Annual,0.0
2020,Pumped_Hydro_Net_Load,0.0
2020,co2_emissions,5712754.557049981
2020,ev_load,26080.7693067673
2020,gross_load,7975421.988560683
2021,Pumped_Hydro_Fixed_Cost_Annual,0.0
2021,Pumped_Hydro_Net_Load,0.0
2021,co2_emissions,5526017.209904461
2021,ev_load,30960.397112549523
2021,gross_load,7929839.926441534
2022,Pumped_Hydro_Fixed_Cost_Annual,35692150.30010912
2022,Pumped_Hydro_Net_Load,-2605.817460823733
2022,co2_emissions,2795880.9758136435
2022,ev_load,36176.550973902995
2022,gross_load,7853458.468816043
2023,Pumped_Hydro_Fixed_Cost_Annual,35692150.30010912
2023,Pumped_Hydro_Net_Load,-1253.30126021504
2023,co2_emissions,2707188.9808791205
2023,ev_load,44421.439335397146
2023,gross_load,7792836.158160804
2024,Pumped_Hydro_Fixed_Cost_Annual,35692150.30010912
2024,Pumped_Hydro_Net_Load,5904.965139698672
2024,co2_emissions,2647519.052246389
2024,ev_load,53002.85375246258
2024,gross_load,7759466.77079919
2025,Pumped_Hydro_Fixed_Cost_Annual,35692150.30010912
2025,Pumped_Hydro_Net_Load,268.0257907220748
2025,co2_emissions,2543871.2916616336
2025,ev_load,63939.95055852616
2025,gross_load,7686401.769908906
2026,Pumped_Hydro_Fixed_Cost_Annual,35692150.30010912
2026,Pumped_Hydro_Net_Load,-2447.95502559598
2026,co2_emissions,2474106.136871326
2026,ev_load,75718.36250351791
2026,gross_load,7637651.852750583
2027,Pumped_Hydro_Fixed_Cost_Annual,35692150.30010912
2027,Pumped_Hydro_Net_Load,-3413.3473745015926
2027,co2_emissions,2385616.5938540665
2027,ev_load,88842.87867079437
2027,gross_load,7585906.592161216
2028,Pumped_Hydro_Fixed_Cost_Annual,35692150.30010912
2028,Pumped_Hydro_Net_Load,-11074.280283691198
2028,co2_emissions,2298099.5695148464
2028,ev_load,105332.65539378268
2028,gross_load,7551341.478431787
2029,Pumped_Hydro_Fixed_Cost_Annual,35692150.30010912
2029,Pumped_Hydro_Net_Load,-14463.71193245312
2029,co2_emissions,2207245.165239419
2029,ev_load,122832.01028348453
2029,gross_load,7454620.417396492
2030,Pumped_Hydro_Fixed_Cost_Annual,35692150.30010912
2030,Pumped_Hydro_Net_Load,-24633.31027663441
2030,co2_emissions,2102756.158345709
2030,ev_load,142182.25847882815
2030,gross_load,7391274.771234319
2031,Pumped_Hydro_Fixed_Cost_Annual,35692150.30010912
2031,Pumped_Hydro_Net_Load,-19773.529934526312
2031,co2_emissions,1901749.5777311611
2031,ev_load,163551.66300759866
2031,gross_load,7377098.3662947435
2032,Pumped_Hydro_Fixed_Cost_Annual,35692150.30010912
2032,Pumped_Hydro_Net_Load,-16853.353713224762
2032,co2_emissions,1769391.1965126672
2032,ev_load,189800.69534215154
2032,gross_load,7439964.813545444
2033,Pumped_Hydro_Fixed_Cost_Annual,35692150.30010912
2033,Pumped_Hydro_Net_Load,-20147.147663426484
2033,co2_emissions,1645421.7508950427
2033,ev_load,215376.67556556215
2033,gross_load,7458634.23363158
2034,Pumped_Hydro_Fixed_Cost_Annual,35692150.30010912
2034,Pumped_Hydro_Net_Load,-25022.207594906802
2034,co2_emissions,1510579.1209080582
2034,ev_load,244822.7054280413
2034,gross_load,7502112.362361982
2035,Pumped_Hydro_Fixed_Cost_Annual,35692150.30010912
2035,Pumped_Hydro_Net_Load,-18891.060019309847
2035,co2_emissions,1445181.927449693
2035,ev_load,277633.9958462322
2035,gross_load,7545779.799679149
2036,Pumped_Hydro_Fixed_Cost_Annual,35692150.30010912
2036,Pumped_Hydro_Net_Load,-25451.356241605663
2036,co2_emissions,1426202.2631332695
2036,ev_load,309267.44506992446
2036,gross_load,7614132.539412501
2037,Pumped_Hydro_Fixed_Cost_Annual,35692150.30010912
2037,Pumped_Hydro_Net_Load,-33302.14533954512
2037,co2_emissions,1377984.1747453322
2037,ev_load,346621.8372383265
2037,gross_load,7639615.783066508
2038,Pumped_Hydro_Fixed_Cost_Annual,35692150.30010912
2038,Pumped_Hydro_Net_Load,-37502.11321751436
2038,co2_emissions,1375828.555815662
2038,ev_load,389528.90932365315
2038,gross_load,7692162.641427368
2039,Pumped_Hydro_Fixed_Cost_Annual,35692150.30010912
2039,Pumped_Hydro_Net_Load,-28515.741130499748
2039,co2_emissions,1396578.4462375434
2039,ev_load,438325.1873814759
2039,gross_load,7740123.0158371935
2040,Pumped_Hydro_Fixed_Cost_Annual,35692150.30010912
2040,Pumped_Hydro_Net_Load,-39325.83005959509
2040,co2_emissions,1385427.1909184582
2040,ev_load,497217.24710643425
2040,gross_load,7807016.419767943
2041,Pumped_Hydro_Fixed_Cost_Annual,35692150.30010912
2041,Pumped_Hydro_Net_Load,-15463.011337911834
2041,co2_emissions,1084890.3610068478
2041,ev_load,566205.0884985281
2041,gross_load,7827562.128743141
2042,Pumped_Hydro_Fixed_Cost_Annual,35692150.30010912
2042,Pumped_Hydro_Net_Load,-8616.724092263381
2042,co2_emissions,852562.089712802
2042,ev_load,641082.1358631183
2042,gross_load,7874877.905566818
2043,Pumped_Hydro_Fixed_Cost_Annual,35692150.30010912
2043,Pumped_Hydro_Net_Load,4132.005373317545
2043,co2_emissions,718522.2359631702
2043,ev_load,724372.3346169884
2043,gross_load,7917607.198439458
2044,Pumped_Hydro_Fixed_Cost_Annual,35692150.30010912
2044,Pumped_Hydro_Net_Load,15267.573918448545
2044,co2_emissions,647541.1431736661
2044,ev_load,816916.999899065
2044,gross_load,7980141.76291886
2045,Pumped_Hydro_Fixed_Cost_Annual,35692150.30010912
2045,Pumped_Hydro_Net_Load,11799.684936103587
2045,co2_emissions,0.0
2045,ev_load,917033.5014314954
2045,gross_load,7997560.323745626
